id;ma_bao_cao;luu_tru;tien_an;tien_o;tien_di_lai;tai_lieu;giang_day;khac
1;73773;21937;32973;21411;78581;13090;6401;23996
2;22230;77739;17910;14715;54326;30549;77902;56084
3;55652;53016;40545;70733;36302;3514;40666;37816
4;19830;33005;2935;70587;25151;6313;37189;59920
5;46222;18420;35944;93949;99791;77947;27669;15207
6;16159;75442;86560;44543;62029;26983;29889;90028
7;16239;6323;84025;88367;8001;2485;62667;14029
8;97493;22700;31748;5444;73872;57522;12435;76892
9;48136;74455;39045;22481;43704;84159;96322;9493
10;83302;77870;14230;19689;40382;57156;94367;74174
