id;ma_cdt;so_quyet_dinh;ngay_quyet_dinh;so_hd;ngay_hd;ly_do_ct;noi_dung;noi_cong_tac;ngay_bat_dau;ngay_ket_thuc;ghi_chu;noi_dung_ho_tro;bao_cao_tai_chinh
1;71074;10980;2022-06-07T23:29:54;2556;2022-06-07T23:55:15;Wooden Soft bandwidth;mindshare Orchestrator;harness Lights Chair;2022-06-07T17:13:42;2022-06-08T06:47:40;panel;48591;91857
2;32098;40371;2022-06-07T20:29:57;87964;2022-06-07T21:45:06;Vista Peso;Public-key Director;withdrawal;2022-06-07T18:33:44;2022-06-07T20:19:47;generating;7723;4746
3;48104;57424;2022-06-07T09:08:28;79066;2022-06-07T08:04:40;Bedfordshire;Technician;compressing Toys paradigm;2022-06-08T04:04:28;2022-06-07T15:45:22;front-end Internal;37459;97310
4;63923;64776;2022-06-07T18:46:30;96643;2022-06-07T15:46:10;wireless Mouse;matrices;Soap hacking;2022-06-08T00:08:12;2022-06-08T00:12:25;Bedfordshire Metrics invoice;26155;43735
5;66148;478;2022-06-08T07:16:07;83687;2022-06-07T08:30:24;SMS Creative;generate Estates;Mobility Verde;2022-06-08T04:14:28;2022-06-07T10:58:55;Cheese one-to-one;35378;9290
6;83260;86691;2022-06-07T08:20:33;65713;2022-06-07T19:37:31;deposit;Berkshire;Innovative compressing Executive;2022-06-07T17:54:36;2022-06-08T02:28:36;bricks-and-clicks;28794;99834
7;77011;99835;2022-06-08T06:58:35;89915;2022-06-07T15:00:56;Dram CSS;blockchains deposit;hack;2022-06-08T05:59:13;2022-06-07T16:58:13;Gloves;19551;9369
8;34294;1342;2022-06-07T10:01:59;15316;2022-06-07T10:20:54;New Steel;Peso;payment;2022-06-07T16:00:08;2022-06-07T22:28:55;Wooden;42502;44361
9;32356;41122;2022-06-08T05:12:07;59938;2022-06-07T22:58:58;Summit function;card;Money;2022-06-08T04:35:09;2022-06-08T00:27:16;Korea;72879;48295
10;96901;20157;2022-06-08T05:38:00;54994;2022-06-07T23:49:18;Fantastic Garden invoice;Licensed;Wooden transition;2022-06-07T12:23:22;2022-06-07T22:18:55;grey;63164;50268
